# This is ionized PAHs from DL (2007)
# nsize (number of sampled sizes in this file
# sizes (microns)
# n_size = 30 
#    3.0000E-04  3.3056E-04  3.6424E-04  4.0135E-04  4.4223E-04  4.8729E-04  5.3693E-04  5.9163E-04  6.5190E-04  7.1832E-04  7.9150E-04  8.7213E-04  9.6098E-04  1.0589E-03  1.1668E-03  1.2856E-03  1.4166E-03  1.5609E-03  1.7199E-03  1.8951E-03  2.0882E-03  2.3010E-03  2.5354E-03  2.7937E-03  3.0783E-03  3.3919E-03  3.7374E-03  4.1182E-03  4.5377E-03  5.0000E-03
#
# Index=	   0  radius=   0.0003000000
# Radius 	 Lambda 	 Qabs 	 Qext 
3.0000e-04 4.0000e-02 1.8402e-02 1.8402e-02 
3.0000e-04 4.0657e-02 1.8856e-02 1.8856e-02 
3.0000e-04 4.1325e-02 1.9319e-02 1.9319e-02 
3.0000e-04 4.2004e-02 1.9791e-02 1.9791e-02 
3.0000e-04 4.2694e-02 2.0672e-02 2.0672e-02 
3.0000e-04 4.3395e-02 2.1665e-02 2.1665e-02 
3.0000e-04 4.4108e-02 2.2701e-02 2.2701e-02 
3.0000e-04 4.4832e-02 2.3893e-02 2.3893e-02 
3.0000e-04 4.5569e-02 2.5348e-02 2.5348e-02 
3.0000e-04 4.6317e-02 2.6904e-02 2.6904e-02 
3.0000e-04 4.7078e-02 2.8574e-02 2.8574e-02 
3.0000e-04 4.7851e-02 3.0372e-02 3.0372e-02 
3.0000e-04 4.8637e-02 3.2326e-02 3.2326e-02 
3.0000e-04 4.9436e-02 3.4464e-02 3.4464e-02 
3.0000e-04 5.0248e-02 3.6672e-02 3.6672e-02 
3.0000e-04 5.1073e-02 3.8856e-02 3.8856e-02 
3.0000e-04 5.1912e-02 4.1261e-02 4.1261e-02 
3.0000e-04 5.2765e-02 4.3898e-02 4.3898e-02 
3.0000e-04 5.3632e-02 4.6480e-02 4.6480e-02 
3.0000e-04 5.4513e-02 4.9240e-02 4.9240e-02 
3.0000e-04 5.5408e-02 5.2290e-02 5.2290e-02 
3.0000e-04 5.6318e-02 5.5515e-02 5.5515e-02 
3.0000e-04 5.7243e-02 5.8803e-02 5.8803e-02 
3.0000e-04 5.8184e-02 6.5448e-02 6.5448e-02 
3.0000e-04 5.9139e-02 7.3611e-02 7.3611e-02 
3.0000e-04 6.0111e-02 8.1655e-02 8.1655e-02 
3.0000e-04 6.1098e-02 8.9565e-02 8.9565e-02 
3.0000e-04 6.2102e-02 9.7358e-02 9.7358e-02 
3.0000e-04 6.3122e-02 1.0503e-01 1.0503e-01 
3.0000e-04 6.4159e-02 1.1258e-01 1.1258e-01 
3.0000e-04 6.5213e-02 1.2001e-01 1.2001e-01 
3.0000e-04 6.6284e-02 1.2732e-01 1.2732e-01 
3.0000e-04 6.7372e-02 1.3414e-01 1.3414e-01 
3.0000e-04 6.8479e-02 1.4186e-01 1.4186e-01 
3.0000e-04 6.9604e-02 1.4928e-01 1.4928e-01 
3.0000e-04 7.0747e-02 1.5484e-01 1.5484e-01 
3.0000e-04 7.1909e-02 1.5683e-01 1.5683e-01 
3.0000e-04 7.3091e-02 1.5428e-01 1.5428e-01 
