U=1.000 
ngas=6.000e+06 (cm-3) 
mean_lam=1.300 (um) 
gamma=0.700 
amax=2.500 (um) 
dust_composition=astro 
! 
Av= 0.000,14.796,41.154,221.104,10886.093
! 
NH= 0.00000e+00,2.14542e+22,5.96732e+22,3.20601e+23,1.57848e+25
! 
w	 p(Av=0.000)	 p(Av=14.796)	 p(Av=41.154)	 p(Av=221.104)	 p(Av=10886.093)
9.120e-02	 -7.329e-01	 5.475e-03	 5.744e-03	 3.846e-03	 nan	 
9.226e-02	 -8.213e-01	 6.135e-03	 6.437e-03	 4.309e-03	 nan	 
9.332e-02	 -9.143e-01	 6.830e-03	 7.166e-03	 4.798e-03	 nan	 
9.441e-02	 -1.013e+00	 7.569e-03	 7.941e-03	 5.316e-03	 nan	 
9.550e-02	 -1.125e+00	 8.409e-03	 8.822e-03	 5.907e-03	 nan	 
9.661e-02	 -1.247e+00	 9.321e-03	 9.779e-03	 6.547e-03	 nan	 
9.772e-02	 -1.377e+00	 1.029e-02	 1.080e-02	 7.228e-03	 nan	 
9.886e-02	 -1.516e+00	 1.133e-02	 1.189e-02	 7.959e-03	 nan	 
1.000e-01	 -1.670e+00	 1.248e-02	 1.310e-02	 8.769e-03	 nan	 
1.012e-01	 -1.835e+00	 1.371e-02	 1.439e-02	 9.632e-03	 nan	 
1.023e-01	 -2.016e+00	 1.507e-02	 1.581e-02	 1.058e-02	 nan	 
1.035e-01	 -2.217e+00	 1.657e-02	 1.739e-02	 1.164e-02	 nan	 
1.047e-01	 -2.450e+00	 1.832e-02	 1.922e-02	 1.287e-02	 nan	 
1.059e-01	 -2.697e+00	 2.017e-02	 2.116e-02	 1.417e-02	 nan	 
1.072e-01	 -2.950e+00	 2.207e-02	 2.315e-02	 1.550e-02	 nan	 
1.084e-01	 -3.236e+00	 2.420e-02	 2.540e-02	 1.701e-02	 nan	 
1.097e-01	 -3.564e+00	 2.667e-02	 2.798e-02	 1.874e-02	 nan	 
1.109e-01	 -3.907e+00	 2.924e-02	 3.068e-02	 2.055e-02	 nan	 
1.122e-01	 -4.289e+00	 3.211e-02	 3.369e-02	 2.257e-02	 nan	 
1.135e-01	 -4.705e+00	 3.523e-02	 3.697e-02	 2.476e-02	 nan	 
1.148e-01	 -5.156e+00	 3.863e-02	 4.053e-02	 2.715e-02	 nan	 
1.161e-01	 -5.642e+00	 4.229e-02	 4.437e-02	 2.973e-02	 nan	 
1.175e-01	 -6.187e+00	 4.640e-02	 4.868e-02	 3.262e-02	 nan	 
1.189e-01	 -6.825e+00	 5.121e-02	 5.374e-02	 3.601e-02	 nan	 
1.202e-01	 -7.540e+00	 5.663e-02	 5.942e-02	 3.983e-02	 nan	 
1.216e-01	 -8.290e+00	 6.231e-02	 6.539e-02	 4.383e-02	 nan	 
1.230e-01	 -9.138e+00	 6.875e-02	 7.216e-02	 4.838e-02	 nan	 
1.244e-01	 -1.002e+01	 7.551e-02	 7.925e-02	 5.315e-02	 nan	 
1.259e-01	 -1.093e+01	 8.248e-02	 8.657e-02	 5.808e-02	 nan	 
1.274e-01	 -1.199e+01	 9.062e-02	 9.513e-02	 6.385e-02	 nan	 
1.288e-01	 -1.315e+01	 9.956e-02	 1.045e-01	 7.018e-02	 nan	 
1.303e-01	 -1.448e+01	 1.100e-01	 1.155e-01	 7.758e-02	 nan	 
1.318e-01	 -1.586e+01	 1.207e-01	 1.268e-01	 8.523e-02	 nan	 
1.333e-01	 -1.758e+01	 1.344e-01	 1.412e-01	 9.504e-02	 nan	 
1.349e-01	 -1.921e+01	 1.473e-01	 1.548e-01	 1.042e-01	 nan	 
1.365e-01	 -2.123e+01	 1.638e-01	 1.722e-01	 1.161e-01	 nan	 
1.380e-01	 -2.351e+01	 1.829e-01	 1.924e-01	 1.300e-01	 nan	 
1.396e-01	 -2.628e+01	 2.065e-01	 2.175e-01	 1.472e-01	 nan	 
1.412e-01	 -2.921e+01	 2.324e-01	 2.453e-01	 1.664e-01	 nan	 
1.429e-01	 -3.221e+01	 2.594e-01	 2.743e-01	 1.866e-01	 nan	 
1.445e-01	 -3.561e+01	 2.918e-01	 3.099e-01	 2.116e-01	 nan	 
1.462e-01	 -3.914e+01	 3.264e-01	 3.484e-01	 2.397e-01	 nan	 
1.479e-01	 -4.291e+01	 3.650e-01	 3.955e-01	 2.790e-01	 nan	 
1.496e-01	 -4.691e+01	 4.093e-01	 4.548e-01	 3.281e-01	 nan	 
1.514e-01	 -5.140e+01	 4.634e-01	 5.390e-01	 4.101e-01	 nan	 
1.531e-01	 -5.536e+01	 5.083e-01	 6.009e-01	 4.681e-01	 nan	 
